steps, temperature, pressure, energy, Q6

1  0.502082  0.512369  -1733.633840  0.353551
51  0.786784  1.424171  -1741.592850  0.270492
101  1.106819  1.147096  -1986.926185  0.068695
151  0.993832  -0.888699  -2202.097495  0.042743
201  0.919342  0.176372  -2373.554940  0.044292
251  0.844830  0.699867  -2485.047662  0.043998
301  0.802811  -1.652833  -2600.476299  0.045300
351  0.715166  -0.166421  -2692.072335  0.037382
401  0.665842  1.522127  -2768.987478  0.040398
451  0.634585  0.014356  -2829.618088  0.037940
501  0.626064  1.062374  -2846.808692  0.051484
551  0.622382  0.547668  -2894.474366  0.048584
601  0.560067  0.843550  -2938.267558  0.049664
651  0.575733  0.782525  -2961.248563  0.047673
701  0.533162  -0.133945  -3009.019022  0.041350
751  0.571031  1.035730  -3004.651788  0.044662
801  0.564677  0.902418  -3015.919467  0.049816
851  0.555061  1.073141  -3030.476506  0.050097
901  0.561060  1.311716  -3020.860908  0.055979
951  0.552580  0.063380  -3024.649553  0.062402
1001  0.522082  1.094148  -3060.981254  0.058823
1051  0.542879  0.430352  -3076.475718  0.056307
1101  0.520600  0.192579  -3073.664695  0.058070
1151  0.506984  0.984982  -3075.610441  0.070850
1201  0.496827  1.118735  -3091.710391  0.070926
1251  0.512289  -0.527053  -3086.894729  0.066898
1301  0.494105  0.030936  -3095.666144  0.076980
1351  0.519081  1.199972  -3095.122820  0.086367
1401  0.518839  1.326337  -3073.555714  0.089141
1451  0.501171  0.368889  -3088.902857  0.073434
1501  0.522860  0.925412  -3087.590817  0.080945
1551  0.512404  -0.690481  -3076.753603  0.081501
1601  0.523584  0.212703  -3090.941695  0.078323
1651  0.531963  1.033438  -3074.363036  0.082049
1701  0.501241  0.369411  -3090.917002  0.075116
1751  0.505117  1.263516  -3096.391729  0.076177
1801  0.520540  1.084055  -3076.753754  0.074602
1851  0.517179  1.045487  -3071.366699  0.081539
1901  0.529854  -0.543636  -3066.520968  0.082314
1951  0.485003  0.547172  -3084.076305  0.076005
2001  0.518622  -0.064533  -3085.270247  0.065492
2051  0.510364  0.581584  -3106.605835  0.062118
2101  0.507613  -0.601632  -3099.328289  0.065710
2151  0.508029  -0.410305  -3105.052228  0.064312
2201  0.504379  0.906906  -3106.479069  0.065739
2251  0.496291  0.796151  -3116.623176  0.063986
2301  0.519878  0.778937  -3102.117742  0.055407
2351  0.480105  0.542600  -3110.863291  0.062960
2401  0.501318  0.545948  -3129.109749  0.061495
2451  0.524584  0.802140  -3102.061632  0.069636
2501  0.523520  0.798757  -3106.827594  0.077063
